official_name,city,state,engineering_rank,year
Indian Institute of Technology Madras More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 95.79 93.10 81.07 65.85 100.00,95.79,93.10,100.0,2024
Indian Institute of Technology Delhi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 85.71 92.20 84.52 65.39 98.53,85.71,92.20,98.53,2024
Indian Institute of Technology Bombay More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 86.34 84.18 84.78 58.67 91.13,86.34,84.18,91.13,2024
Indian Institute of Technology Kanpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 94.25 74.08 89.05 60.62 84.19,94.25,74.08,84.19,2024
Indian Institute of Technology Kharagpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.22 79.28 79.16 57.83 80.26,78.22,79.28,80.26,2024
Indian Institute of Technology Roorkee More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.72 74.70 87.35 62.20 65.79,77.72,74.70,65.79,2024
Indian Institute of Technology Guwahati More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.81 68.07 84.48 59.56 55.38,76.81,68.07,55.38,2024
Indian Institute of Technology Hyderabad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 88.73 57.50 77.88 55.70 65.31,88.73,57.50,65.31,2024
National Institute of Technology Tiruchirappalli More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 69.69 57.02 78.69 63.12 68.07,69.69,57.02,68.07,2024
Indian Institute of Technology (Banaras Hindu University) Varanasi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.26 60.16 84.78 57.89 60.05,66.26,60.16,60.05,2024
Vellore Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.52 71.94 69.40 61.75 49.28,65.52,71.94,49.28,2024
Jadavpur University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.24 59.47 76.55 48.89 41.13,78.24,59.47,41.13,2024
S.R.M. Institute of Science and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.11 68.70 64.60 66.85 17.57,78.11,68.70,17.57,2024
Anna University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.94 71.32 63.43 48.67 65.97,65.94,71.32,65.97,2024
Indian Institute of Technology (Indian School of Mines) Dhanbad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.39 60.91 75.94 59.84 33.72,73.39,60.91,33.72,2024
Indian Institute of Technology Indore More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 79.79 55.21 75.82 60.67 29.90,79.79,55.21,29.9,2024
"National Institute of Technology Karnataka, Surathkal More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.65 49.04 78.44 62.31 52.37",74.65,49.04,52.37,2024
Indian Institute of Technology Gandhinagar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 88.39 42.21 70.33 65.56 36.08,88.39,42.21,36.08,2024
National Institute of Technology Rourkela More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.49 57.00 73.24 59.41 27.38,76.49,57.00,27.38,2024
"Birla Institute of Technology and Science, Pilani More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.19 52.49 79.47 58.14 36.28",73.19,52.49,36.28,2024
National Institute of Technology Warangal More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.99 48.25 75.28 58.05 32.90,76.99,48.25,32.9,2024
Indian Institute of Technology Ropar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.30 46.40 73.59 65.15 32.06,77.30,46.40,32.06,2024
Amrita Vishwa Vidyapeetham More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.05 49.58 65.28 62.49 37.03,78.05,49.58,37.03,2024
Jamia Millia Islamia More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.48 58.75 75.46 66.84 19.33,66.48,58.75,19.33,2024
National Institute of Technology Calicut More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.36 37.59 79.48 67.93 40.10,77.36,37.59,40.1,2024
Siksha `O` Anusandhan More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 82.08 42.44 66.25 73.63 30.12,82.08,42.44,30.12,2024
Delhi Technological University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.10 43.87 76.17 55.57 49.00,73.10,43.87,49.0,2024
Indian Institute of Technology Jodhpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 87.05 40.25 72.26 66.24 13.50,87.05,40.25,13.5,2024
Thapar Institute of Engineering and Technology (Deemed-to-be-university) More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 70.75 51.69 73.58 64.01 24.95,70.75,51.69,24.95,2024
Amity University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 75.21 59.52 61.72 63.28 8.23,75.21,59.52,8.23,2024
Indian Institute of Technology Mandi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.90 41.80 79.03 70.51 19.90,74.90,41.80,19.9,2024
Chandigarh University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.22 45.76 66.21 75.56 24.19,76.22,45.76,24.19,2024
Aligarh Muslim University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 75.47 58.68 63.11 41.23 21.83,75.47,58.68,21.83,2024
Indian Institute of Technology Patna More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.22 49.41 77.73 53.00 25.69,67.22,49.41,25.69,2024
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.84 47.52 65.41 66.32 18.17,74.84,47.52,18.17,2024
Kalasalingam Academy of Research and Education More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.67 38.81 71.56 76.14 10.42,78.67,38.81,10.42,2024
Kalinga Institute of Industrial Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.06 42.99 62.03 76.29 16.36,78.06,42.99,16.36,2024
Shanmugha Arts Science Technology and Research Academy More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.42 39.30 72.10 67.21 15.11,78.42,39.30,15.11,2024
Visvesvaraya National Institute of Technology Nagpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.71 43.37 73.89 55.62 21.28,74.71,43.37,21.28,2024
National Institute of Technology Silchar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.13 53.82 73.05 56.86 10.06,67.13,53.82,10.06,2024
Institute of Chemical Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 71.23 49.07 66.74 54.19 20.74,71.23,49.07,20.74,2024
UPES More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.11 52.19 51.10 62.70 25.69,73.11,52.19,25.69,2024
Malaviya National Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 69.24 48.66 69.43 59.76 11.12,69.24,48.66,11.12,2024
National Institute of Technology Durgapur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 70.41 38.70 78.05 58.99 20.18,70.41,38.70,20.18,2024
National Institute of Technology Delhi More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.19 30.17 67.64 77.54 21.83,77.19,30.17,21.83,2024
Sri Sivasubramaniya Nadar College of Engineering More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 69.93 41.32 69.34 57.10 20.46,69.93,41.32,20.46,2024
International Institute of Information Technology Hyderabad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.47 40.89 66.90 63.14 26.90,65.47,40.89,26.9,2024
Birla Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 75.92 39.20 62.50 52.44 19.04,75.92,39.20,19.04,2024
"Indian Institute of Engineering Science and Technology, Shibpur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 64.01 39.61 72.26 54.45 31.85",64.01,39.61,31.85,2024
Lovely Professional University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 59.41 53.01 57.76 67.10 21.83,59.41,53.01,21.83,2024
Indian Institute of Space Science and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.82 23.52 66.88 61.08 32.27,77.82,23.52,32.27,2024
Graphic Era University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.39 43.42 51.75 65.57 30.99,66.39,43.42,30.99,2024
Saveetha Institute of Medical and Technical Sciences More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 70.74 60.00 35.67 64.13 0.90,70.74,60.00,0.9,2024
Indian Institute of Technology Bhubaneswar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 58.61 35.88 74.96 58.35 33.72,58.61,35.88,33.72,2024
National Institute of Technology Patna More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 60.91 43.86 74.16 49.80 10.42,60.91,43.86,10.42,2024
Manipal Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.60 37.45 57.59 60.23 30.56,67.60,37.45,30.56,2024
Netaji Subhas University of Technology (NSUT) More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 71.65 25.79 74.93 49.75 23.16,71.65,25.79,23.16,2024
Dr. B R Ambedkar National Institute of Technology Jalandhar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.16 37.36 60.13 60.22 16.97,67.16,37.36,16.97,2024
Sardar Vallabhbhai National Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 63.02 39.62 67.00 54.88 13.50,63.02,39.62,13.5,2024
Motilal Nehru National Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 58.52 36.58 75.07 52.94 18.17,58.52,36.58,18.17,2024
Indian Institute of Technology Tirupati More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 79.07 20.70 64.08 53.10 25.20,79.07,20.70,25.2,2024
Indian Institute of Technology Jammu More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 79.45 27.27 60.00 52.87 12.16,79.45,27.27,12.16,2024
Defence Institute of Advanced Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.10 35.43 56.91 56.59 4.73,74.10,35.43,4.73,2024
"Manipal University, Jaipur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 70.54 37.46 52.43 68.77 4.73",70.54,37.46,4.73,2024
Indian Institute of Technology Palakkad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 74.88 21.37 62.91 65.44 22.36,74.88,21.37,22.36,2024
Sathyabama Institute of Science and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.73 38.18 51.34 70.34 12.83,66.73,38.18,12.83,2024
PSG College of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 68.19 24.56 59.97 46.77 54.15,68.19,24.56,54.15,2024
National Institute of Technology Meghalaya More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 71.91 32.09 60.88 60.89 3.49,71.91,32.09,3.49,2024
Visvesvaraya Technological University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 61.27 48.05 58.19 46.62 7.10,61.27,48.05,7.1,2024
University of Hyderabad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.91 50.73 44.75 46.87 6.72,65.91,50.73,6.72,2024
National Institute of Technology Raipur More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 57.83 40.80 65.98 56.96 3.91,57.83,40.80,3.91,2024
Maulana Azad National Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 57.75 34.21 70.28 60.62 11.47,57.75,34.21,11.47,2024
Indian Institute of Technology Bhilai More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.71 19.93 65.71 59.20 7.48,76.71,19.93,7.48,2024
International Institute of Information Technology Bangalore More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.49 22.92 68.42 58.93 22.10,66.49,22.92,22.1,2024
M. S. Ramaiah Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.96 25.27 62.62 56.00 22.36,67.96,25.27,22.36,2024
Sant Longowal Institute of Engineering and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 78.75 25.46 49.36 65.02 5.93,78.75,25.46,5.93,2024
COEP Technological University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 64.95 21.48 67.24 51.61 33.51,64.95,21.48,33.51,2024
Banasthali Vidyapith More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 64.78 21.00 73.66 72.16 1.78,64.78,21.00,1.78,2024
National Institute of Technology Srinagar More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 62.60 30.19 67.16 58.61 6.33,62.60,30.19,6.33,2024
Rajiv Gandhi Institute of Petroleum Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 77.55 14.26 69.08 59.78 0.90,77.55,14.26,0.9,2024
National Institute of Technology Kurukshetra More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 49.88 37.75 65.87 52.63 20.74,49.88,37.75,20.74,2024
National Institute of Technology Agartala More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 63.57 25.62 65.58 58.84 9.34,63.57,25.62,9.34,2024
Sri Krishna College of Engineering and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.04 23.50 63.87 47.69 21.28,66.04,23.50,21.28,2024
Madan Mohan Malaviya University of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 73.11 21.42 53.60 69.58 3.49,73.11,21.42,3.49,2024
Indraprastha Institute of Information Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 54.30 31.67 71.72 44.34 17.57,54.30,31.67,17.57,2024
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 61.79 36.98 44.86 69.15 7.10,61.79,36.98,7.1,2024
Indian Institute of Information Technology Allahabad More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 46.98 24.94 80.61 54.41 27.14,46.98,24.94,27.14,2024
Jawaharlal Nehru Technological University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.36 23.69 57.00 56.49 14.15,67.36,23.69,14.15,2024
Guru Gobind Singh Indraprastha University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 57.82 30.18 62.52 52.14 15.43,57.82,30.18,15.43,2024
AU College of Engineering (A) More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 70.81 12.34 65.90 68.52 6.33,70.81,12.34,6.33,2024
"Vignan's Foundation for Science, Technology and Research More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.88 22.57 54.55 64.37 12.49",66.88,22.57,12.49,2024
Shoolini University of Biotechnology and Management Sciences More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 54.72 42.53 45.81 65.88 4.73,54.72,42.53,4.73,2024
Christ University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 60.99 38.90 34.41 61.52 20.18,60.99,38.90,20.18,2024
Chitkara University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 52.61 36.19 51.54 64.91 13.82,52.61,36.19,13.82,2024
"Jain University, Bangalore More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 65.07 32.16 44.07 61.19 5.13",65.07,32.16,5.13,2024
"C.V. Raman Global University, Odisha More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 76.20 4.85 57.48 74.22 13.17",76.20,4.85,13.17,2024
National Institute of Technology Puducherry More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 61.77 21.98 58.16 66.58 9.70,61.77,21.98,9.7,2024
SR University More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 71.12 16.67 53.31 63.59 9.34,71.12,16.67,9.34,2024
R.V. College of Engineering More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 67.53 16.67 58.98 52.15 19.90,67.53,16.67,19.9,2024
Siddaganga Institute of Technology More Details Close | | TLR (100) RPC (100) GO (100) OI (100) PERCEPTION (100) 66.69 15.31 61.78 59.80 10.06,66.69,15.31,10.06,2024
